idxLoop;idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
1;1;10.797999999995227;37801.6;9.559;215.16762596944645;4.483481012658227;-0.06151898734177178;-1.36;4.483903051658276;4.685614855776176
1;1;10.809999999997672;37801.612;9.845;222.445550766064;4.485189873417722;-0.0653164556962023;-1.36;4.485665440042714;4.687301402725623
1;1;10.819999999999709;37801.622;10.139;229.00267061310194;4.484367088607595;-0.06443037974683548;-1.3736000000000002;4.484829925339564;4.690466546008113
1;1;10.831999999994878;37801.634;10.438;237.95858419826817;4.481962025316455;-0.05791139240506279;-1.3668;4.48233614600122;4.686094276233574
1;1;10.843999999997322;37801.646;10.742;250.05716722175003;4.4864556962025315;-0.0623417721518987;-1.3192;4.486888811921149;4.6768001721843095
1;1;10.855999999999767;37801.658;11.052;259.33358044645905;4.480949367088608;-0.06132911392405026;-1.3192;4.481369042003404;4.671504803660862
1;1;10.867999999994936;37801.67;11.367;263.2742163469755;4.484050632911392;-0.06417721518987315;-1.3532;4.484509872155772;4.6842266206346785
1;1;10.881999999997788;37801.684;11.684;272.3025116385481;4.4840506329113925;-0.061392405063291064;-1.3464;4.484470883606282;4.682229390569466
1;1;10.894000000000233;37801.696;12.012;284.0284756259252;4.482025316455696;-0.06398734177215253;-1.3226;4.4824820487378245;4.67353357506468
1;1;10.904999999998836;37801.707;12.342;283.2840935021515;4.48493670886076;-0.06151898734177178;-1.394;4.485358610890588;4.69698604088732
1;1;10.916999999994005;37801.719;12.675;292.18199523069455;4.486329113924051;-0.06715189873417766;-1.3871999999999998;4.486831654513702;4.696379683963613
1;1;10.92899999999645;37801.731;13.017;306.0754899430188;4.486075949367089;-0.06892405063291131;-1.3464;4.486605392526234;4.684273786644572
1;1;10.940999999998894;37801.743;13.368;319.2493676047177;4.485126582278481;-0.06727848101265838;-1.3158;4.485631154371525;4.674635439589746
1;1;10.952999999994063;37801.755;13.718;332.6070904087462;4.485759493670886;-0.06873417721518978;-1.2818;4.486286061117362;4.6658090254719955
1;1;10.964999999996508;37801.767;14.074;336.5909781652179;4.487278481012659;-0.07651898734177234;-1.3158;4.487930850802303;4.676842199773591
1;1;10.97599999999511;37801.778;14.44;353.5305113533634;4.485316455696202;-0.07867088607594905;-1.2648;4.486006332591954;4.660898181258105
1;1;10.987999999997555;37801.79;14.808;364.0831357983349;4.488354430379747;-0.07601265822784768;-1.2511999999999999;4.488998041536704;4.660107816018892
1;1;11.002999999996973;37801.805;15.177;372.07690092223885;4.4860759493670885;-0.07626582278481002;-1.2648;4.486724183545816;4.661589100211951
1;1;11.013999999995576;37801.816;15.56;376.6055065670419;4.48753164556962;-0.07651898734177234;-1.2953999999999999;4.488183978561104;4.671387008738687
1;1;11.023999999997613;37801.826;15.945;388.96496769932816;4.488670886075949;-0.07531645569620238;-1.275;4.489302717795325;4.666847318265779
1;1;11.036000000000058;37801.838;16.335;394.99921344517907;4.489367088607594;-0.08329113924050649;-1.2953999999999999;4.49013967156357;4.673266034600321
1;1;11.047999999995227;37801.85;16.733;409.5852817634212;4.489683544303797;-0.08018987341772126;-1.2648;4.490399619609713;4.665126770388031
1;1;11.059999999997672;37801.862;17.127;423.27557673385706;4.490949367088608;-0.08069620253164593;-1.2376;4.491674308635544;4.659054824195203
1;1;11.072999999996682;37801.875;17.536;431.039571793061;4.494050632911392;-0.08297468354430423;-1.2444;4.494816557912076;4.663894000648017
1;1;11.084999999999127;37801.887;17.947;445.0338305727759;4.492341772151898;-0.0790506329113921;-1.224;4.493037235588477;4.656775665670888
1;1;11.096999999994296;37801.899;18.366;448.92212301342175;4.490886075949367;-0.0812025316455688;-1.2613999999999999;4.491620152940535;4.665381180386181
1;1;11.10899999999674;37801.911;18.781;462.31511243381686;4.491075949367088;-0.08025316455696206;-1.2409999999999999;4.491792933050777;4.6600734708161955
1;1;11.120999999999185;37801.923;19.215;474.8459341989806;4.491518987341771;-0.07987341772151901;-1.2273999999999998;4.49222913223604;4.656890951752056
1;1;11.132999999994354;37801.935;19.642;483.8047443232265;4.496012658227848;-0.08031645569620287;-1.224;4.4967299847778985;4.6603386739592905
1;1;11.144999999996799;37801.947;20.082;497.0248744933738;4.496392405063291;-0.0820253164556957;-1.2069999999999999;4.497140515132977;4.656299154140603
1;1;11.156999999999243;37801.959;20.527;509.25132061332664;4.494556962025315;-0.08367088607594954;-1.2002;4.495335705157843;4.652797345905682
1;1;11.168999999994412;37801.971;20.974;517.5834860894232;4.497594936708859;-0.08512658227848094;-1.2036;4.4984004656899526;4.656636093761202
1;1;11.180999999996857;37801.983;21.431;527.5299105948939;4.496835443037974;-0.08316455696202486;-1.2069999999999999;4.497604400711253;4.656747185031331
1;1;11.192999999999302;37801.995;21.89;540.695092268472;4.498227848101265;-0.08145569620253203;-1.19;4.498965303697904;4.653685507624852
1;1;11.20499999999447;37802.007;22.355;550.94868608694;4.498227848101265;-0.08582278481012623;-1.19;4.499046490516219;4.653763995286644
1;1;11.216999999996915;37802.019;22.827;563.8947858332477;4.498860759493671;-0.08664556962025315;-1.1764;4.499695055006149;4.650932438559691
1;1;11.22899999999936;37802.031;23.301;571.7964434458089;4.497911392405062;-0.08246835443037957;-1.19;4.498667349716992;4.653397460287451
1;1;11.240999999994528;37802.043;23.782;583.389922591709;4.501835443037975;-0.08126582278481051;-1.1764;4.502568876779767;4.653712867178831
1;1;11.252999999996973;37802.055;24.271;593.0272691924332;4.500126582278482;-0.08436708860759483;-1.1831999999999998;4.500917357847124;4.653839200291468
1;1;11.264999999999418;37802.067;24.761;603.1814622154184;4.502025316455696;-0.08803797468354374;-1.1798;4.5028860339780294;4.654880307268318
1;1;11.276999999994587;37802.079;25.256;616.5396813734476;4.500506329113924;-0.08727848101265763;-1.1696;4.501352546917689;4.650821315815343
1;1;11.288999999997031;37802.091;25.763;621.8355728215508;4.503227848101266;-0.08430379746835402;-1.1865999999999999;4.504016894082698;4.657701980825131
1;1;11.300999999999476;37802.103;26.268;633.0672965933604;4.504556962025316;-0.08329113924050649;-1.1798;4.505326940190548;4.657241552465013
1;1;11.312999999994645;37802.115;26.782;649.3735768159496;4.507278481012658;-0.08094936708860737;-1.1492;4.508005335559377;4.65217935439207
1;1;11.32499999999709;37802.127;27.303;657.901706550158;4.509430379746836;-0.0820253164556957;-1.1526;4.510176327187591;4.655123764447445
1;1;11.336999999999534;37802.139;27.826;667.5847306754151;4.50886075949367;-0.08810126582278455;-1.1560000000000001;4.509721408417755;4.655526090737911
1;1;11.348999999994703;37802.151;28.355;679.7610108728321;4.508544303797469;-0.08734177215189844;-1.1492;4.509390238653918;4.653521351027331
1;1;11.360999999997148;37802.163;28.892;690.0440614185991;4.50886075949367;-0.08354430379746793;-1.1492;4.509634685780972;4.653758227411352
1;1;11.372999999999593;37802.175;29.431;697.7212965662304;4.512151898734177;-0.08354430379746881;-1.1526;4.512925260620593;4.657787153568467
1;1;11.384999999994761;37802.187;29.975;707.859358907332;4.510632911392405;-0.08512658227848094;-1.1560000000000001;4.511436112408857;4.657187112018019
1;1;11.396999999997206;37802.199;30.529;718.7237727402423;4.512848101265822;-0.08455696202531636;-1.1492;4.513640201093292;4.657639799826248
1;1;11.40899999999965;37802.211;31.087;731.4691708533811;4.509810126582279;-0.08898734177215227;-1.1458000000000002;4.5106879879703214;4.653940670530701
1;1;11.42099999999482;37802.223;31.645;738.8769056001262;4.511455696202531;-0.08867088607595003;-1.1526;4.512327007746198;4.657207509316689
1;1;11.432999999997264;37802.235;32.211;743.3775936799727;4.514873417721518;-0.08835443037974688;-1.1662000000000001;4.515737866995394;4.663894394539408
1;1;11.443999999995867;37802.246;32.787;760.2574435646028;4.511202531645569;-0.09012658227848143;-1.1492;4.512102734020868;4.656149881861471
1;1;11.455999999998312;37802.258;33.363;768.9539860417854;4.513670886075949;-0.087088607594937;-1.1492;4.514510969460864;4.658483651724289
1;1;11.46799999999348;37802.27;33.948;780.8485490047657;4.512215189873418;-0.08797468354430384;-1.1458000000000002;4.513072729822679;4.656252044796236
1;1;11.479999999995925;37802.282;34.534;789.6429279011331;4.510822784810125;-0.09234177215189893;-1.1526;4.511767857375458;4.656665755542943
