 	Area	StdDev	XM	YM	Major	Minor	Angle	Slice
580	535	10904.480	41.031	121.421	26.445	25.758	54.477	194
581	513	11281.763	112.370	121.701	26.046	25.078	43.303	194
582	558	7844.138	185.376	125.905	26.804	26.506	125.264	194
583	538	10843.984	41.001	121.262	26.389	25.958	70.401	195
584	522	11153.165	112.357	121.697	26.249	25.320	41.365	195
585	557	7812.225	185.393	125.733	26.959	26.306	126.815	195
586	537	11004.228	40.980	121.978	26.382	25.916	71.518	196
587	512	11315.438	112.333	122.599	25.976	25.096	30.544	196
588	553	7917.104	185.387	126.369	26.727	26.345	142.905	196
589	533	11010.862	40.939	122.666	26.248	25.855	59.175	197
590	516	11265.393	112.287	123.219	25.885	25.382	45.703	197
591	554	7921.183	185.376	126.883	26.679	26.439	120.396	197
592	534	11031.329	40.826	123.028	26.380	25.773	69.439	198
593	516	11280.625	112.171	123.579	26.068	25.203	36.844	198
594	551	7878.904	185.251	127.277	26.545	26.429	165.836	198
595	529	11052.645	40.779	123.523	26.048	25.858	59.972	199
596	517	11263.329	112.155	124.020	26.119	25.202	51.379	199
597	550	7917.419	185.249	127.758	26.656	26.271	149.825	199
598	535	10990.203	40.709	123.484	26.266	25.934	67.086	200
599	520	11248.215	112.098	124.005	26.151	25.318	54.519	200
600	554	7925.057	185.203	127.900	26.766	26.353	130.737	200
601	534	11012.262	40.601	123.748	26.430	25.725	65.206	201
602	518	11205.826	111.970	124.321	26.173	25.199	55.064	201
603	554	7864.585	185.137	128.208	26.745	26.375	132.479	201
604	536	11041.217	40.495	123.494	26.297	25.952	85.131	202
605	514	11267.538	111.897	124.240	25.999	25.172	52.255	202
606	550	7878.274	185.083	128.209	26.655	26.272	129.723	202
607	534	11012.378	40.495	123.788	26.344	25.809	83.612	203
608	517	11227.968	111.893	124.303	25.964	25.353	55.438	203
609	548	7906.508	185.124	128.350	26.683	26.150	140.428	203
610	535	11098.124	40.454	123.638	26.228	25.971	144.770	204
611	517	11236.326	111.880	124.336	26.076	25.245	50.869	204
612	550	7864.896	185.142	128.531	26.615	26.312	149.091	204
613	535	11050.747	40.409	123.263	26.418	25.785	61.636	205
614	516	11261.412	111.873	123.810	25.951	25.316	66.399	205
615	546	7908.188	185.166	128.441	26.475	26.258	138.616	205
616	531	11137.243	40.292	123.539	26.089	25.914	52.696	206
